,card,port,sum of ont,
OLT,2,1,28,
OLT,2,2,13,
OLT,2,3,22,
OLT,2,4,18,
OLT,2,5,16,
OLT,2,6,26,
OLT,2,7,25,
OLT,2,8,21,
OLT,3,1,13,
OLT,3,2,13,
OLT,3,3,9,
OLT,3,4,9,
OLT,3,5,11,
OLT,3,6,1,
OLT,3,7,23,
OLT,3,8,9,
OLT,4,1,7,
OLT,4,2,22,
OLT,4,3,10,
OLT,4,4,10,
OLT,4,5,5,
OLT,4,6,8,
OLT,4,7,8,
OLT,4,8,5,
OLT,5,1,26,
OLT,5,2,21,
OLT,5,3,34,
OLT,5,4,22,
OLT,5,5,18,
OLT,5,6,20,
OLT,5,7,26,
OLT,5,8,22,
OLT,6,1,16,
OLT,6,2,27,
OLT,6,3,20,
OLT,6,4,27,
OLT,6,5,22,
OLT,6,6,15,
OLT,6,7,24,
OLT,6,8,18,
OLT,7,1,0,
OLT,7,2,25,
OLT,7,3,34,
OLT,7,4,18,
OLT,7,5,15,
OLT,7,6,22,
OLT,7,7,26,
OLT,7,8,17,
OLT,8,1,20,
OLT,8,2,16,
OLT,8,3,23,
OLT,8,4,20,
OLT,8,5,22,
OLT,8,6,15,
OLT,8,7,18,
OLT,8,8,23,
OLT,9,1,22,
OLT,9,2,24,
OLT,9,3,20,
OLT,9,4,1,
OLT,9,5,21,
OLT,9,6,12,
OLT,9,7,17,
OLT,9,8,18,
OLT,10,1,25,
OLT,10,2,23,
OLT,10,3,19,
OLT,10,4,26,
OLT,10,5,29,
OLT,10,6,17,
OLT,10,7,18,
OLT,10,8,25,
OLT,11,1,26,
OLT,11,2,17,
OLT,11,3,18,
OLT,11,4,21,
OLT,11,5,22,
OLT,11,6,20,
OLT,11,7,24,
OLT,11,8,24,
OLT,12,1,17,
OLT,12,2,17,
OLT,12,3,20,
OLT,12,4,19,
OLT,12,5,27,
OLT,12,6,24,
OLT,12,7,23,
OLT,12,8,34,
OLT,13,1,15,
OLT,13,2,21,
OLT,13,3,20,
OLT,13,4,19,
OLT,13,5,21,
OLT,13,6,23,
OLT,13,7,22,
OLT,13,8,19,
OLT,14,1,16,
OLT,14,2,33,
OLT,14,3,26,
OLT,14,4,19,
OLT,14,5,28,
OLT,14,6,25,
OLT,14,7,27,
OLT,14,8,23,
OLT,15,1,23,
OLT,15,2,22,
OLT,15,3,29,
OLT,15,4,29,
OLT,15,5,19,
OLT,15,6,27,
OLT,15,7,21,
OLT,15,8,21,
,,,2222,
